customer_id,name,dob,age,city,phone,email,annual_income,household_size,signup_date
C000067,Shreya Sharma,2001-01-29,24,Mumbai,9806410482,shreya.sharma.0067@example.in,889900.0,6.0,2015-12-22
C000068,Nikhil Das,1992-04-24,33,Hyderabad,8443064814,nikhildas0068@example.in,386500.0,3.0,2020-08-06
C000069,Mira Chandra,1986-02-01,39,Ahmedabad,7871740813,mira.chandra.0069@example.in,,1.0,2015-06-25
C000070,Sneha Banerjee,1954-01-02,71,Chennai,8414627195,sneha.banerjee.0070@example.in,,5.0,2025-03-23
C000071,Rhea Iyer,1978-03-19,47,Pune,8410512460,rhea.iyer.0071@example.in,905000.0,7.0,2017-11-12
C000072,Aditya Shah,1998-03-13,27,Mumbai,9576828358,aditya.shah.0072@example.in,861100.0,2.0,2021-10-23
C000073,Kavya Rao,1975-12-03,50,Bengaluru,6407735541,kavya.rao.0073example.in,1977700.0,6.0,2018-01-08
C000074,Nisha Shah,2005-10-31,20, Kochi ,6600136919,nisha.shah.0074@example.in,5329100.0,2.0,2021-08-28
C000075,Rohan Subramanian,1973-12-16,52,New Delhi,7478939755,rohan.subramanian.0075@example.in,279900.0,,2015-04-07
C000076,Aarav Gupta,1979-11-29,46,Jaipur,7710117309,aarav.gupta.0076@example.in,291700.0,3.0,2024-01-26
C000077,Mira Roy,1991-09-28,34,Chennai,+91 60130 44815,mira.roy.0077@example.in,1911900.0,6.0,2023-07-06
C000078,Aarav Patel,1958-09-29,67, Delhi ,7119088084,aarav.patel.0078@example.in,1104600.0,3.0,2021-02-26
C000079,SHREYA DAS,1957-04-26,68,Ahemdabad,6165054436,shreya.das.0079@example.in,,3.0,2020-09-04
C000080,Rohan Chandra,1977-08-28,48,Lucknow,(655) 687-2591,rohan.chandra.0080@example.in,1297800.0,7.0,2023-04-26
C000081,Shreya Agarwal,1996-06-16,29,Hyderabad,9322303907,shreya.agarwal.0081@example.in,792400.0,,2016-07-18
C000082,Rhea Gupta,2004-03-22,135,Chennai,9828233912,rhea.gupta.0082@example.in,1174700.0,1.0,2020-06-10
C000083,Aditya Verma,1994-05-22,31,Puna,6370045023,aditya.verma.0083@example.in,1265600.0,3.0,2020-02-16
C000084,Kavya Subramanian,1995-04-19,30,Bhopal,,kavya.subramanian.0084@example.in,1017400.0,6.0,2022-12-07
C000085,Aditi Das,1964-09-10,61,Lakhnau, 61787-12672 ,aditi.das.0085@example.in,844100.0,2.0,2024-01-08
C000086,I. Roy,1973-03-08,52,Mumbai,8142978513,ishaan.roy.0086@example.in,692700.0,3.0,2020-09-30
C000087,Mira Desai,1964-11-15,61,Chennai,9959746147,mira.desai.0087@example.in,1335400.0,7.0,2017-09-09
C000088,Priya Rao,1966-11-02,59,Lakhnau,8973374808,,666400.0,7.0,2016-12-14
C000089,Tanvi Mukherjee,1969-09-08,56,Delhi,8104722179,tanvi.mukherjee.0089@example.in,557000.0,7.0,2017-08-10
C000090,Rhea Rao,1963-07-30,62,Kolkata,8289342758,rhea.rao.0090@example.in,274300.0,7.0,2023-04-29
C000091,Priya Roy,1979-08-01,46,Lakhnau,8184065346,priya.roy.0091@example.in,571700.0,1.0,2019-09-28
C000092,Aditya Chandra,1984-10-02,41,Bengaluru,91-697-261-7736,aditya.chandra.0092@example.in,892900.0,7.0,2016-06-21
C000093,Sanjay Agarwal,1977-03-26,48,Kolkata,7597109904,sanjay.agarwal.0093@example.in,522100.0,6.0,2020-11-07
C000094,Shreya Iyer,1958-10-07,67,Hyderabad,6730292303,shreya.iyer.0094@example.in,1182300.0,4.0,2021-12-19
C000095,Aditya Khan,1972-11-06,53,Kochi,8824647469,aditya.khan.0095@example.in,847600.0,7.0,2020-09-07
C000096,Kabir Mukherjee,1967-03-04,58,Pune,9650489358,kabir.mukherjee.0096@example.in,,3.0,2016-01-21
C000097,Aditi Mukherjee,1973-11-19,52,DELHI,,aditi.mukherjee.0097@example.in,845600.0,2.0,2016-11-01
C000098,Aditya Roy,1989-01-05,36,Hyderabad,8709419879,aditya.roy.0098@example.in,788800.0,2.0,2017-07-18
C000099,Sanjay Mehta,1981-03-23,44,Jaipur,6467244219,sanjay.mehta.0099@example.in,,1.0,2018-05-16
C000100,Varun Nair,1983-02-01,42,Mumbai,6147665250,varun.nair.0100@example.in,582700.0,7.0,2023-09-01
C000101,Akshay Verma,1974-01-10,51,Delhi,8095373038,akshay.verma.0101@example.in,455100.0,,2023-04-14
C000102,Sreya Das,1985-02-19,40,Mumbai, 66066-59792 ,shreya.das.0102@example.in,651900.0,4.0,2015-08-24
C000103,Anika Shah,1983-06-21,42,Hyd,+91 76065 30868,anika.shah.0103@example.in,605500.0,7.0,2022-06-28
C000104,Akshay Rao,1990-09-09,35,Kochi,6372675807,akshay.rao.0104@example.in,418600.0,1.0,2018-07-30
C000105,Rohan Joshi,2004-12-09,21,Kochi,8397893445,rohan.joshi.0105@example.in,400300.0,4.0,2019-05-21
C000106,Nikhil Menon,1962-04-28,63,Kochi,6283315338,nikhil.menon.0106@example.in,650700.0,4.0,2021-12-24
C000107,Aditi Chandra,1980-02-01,45,Jaypur,6412371259,aditi.chandra.0107@example.in,385600.0,6.0,2016-05-12
C000108,Sanjay Jain,1982-07-19,43,Kolkata, 72918-35991 ,sanjay.jain.0108@example.in,1252200.0,2.0,2023-05-03
C000109,Shreya Kulkarni,1975-10-27,50,Pune,8760551394,shreya.kulkarni.0109@example.in,1169300.0,3.0,2021-07-04
C000110,Pooja Rao,1978-05-01,47,Pune,91-626-334-5882,pooja.rao.0110@example.in,1239000.0,5.0,2019-07-07
C000111,Diya Tiwari,1995-09-29,30,Hyderabad,7968990311,diya.tiwari.0111@example.in,1089400.0,7.0,2017-03-30
C000112,Shreya Mehta,1960-01-20,65,Chennai,6414515348,shreya.mehta.0112@example.in,1004700.0,2.0,2016-01-05
C000113,Rahul Nair,1971-06-05,54,Jaipur,8548384499,rahul.nair.0113@example.in,421700.0,2.0,2023-05-19
C000114,Rohan Roy,1955-02-26,70,Ahmedabad,6843187777,rohan.roy.0114@example.in,913500.0,5.0,2017-09-30
C000115,Aditya Rao,1954-10-22,71,Jaipur,7824437386,aditya.rao.0115@example.in,788800.0,6.0,2018-01-05
C000116,Rhea Das,1969-10-31,56,Bhopal,9220330137,,1146600.0,7.0,2020-02-03
C000117,Meera Patel,1955-01-06,70,Kochi,7614532741,meera.patel.0117@example.in,775600.0,2.0,2017-02-23
C000118,Pooja Khan,1950-08-18,75,Bengaluru,7929069623,pooja.khan.0118@example.in,2419400.0,4.0,2020-10-28
C000119,Diya Agarwal,1972-12-02,53,Pune,8162471475,diya.agarwal.0119@example.in,,4.0,2019-04-19
C000120,Varun Reddy,2005-06-12,20,Delhi,9971351251,varun.reddy.0120@example.in,1217200.0,,2022-07-28
C000121,Arjun Singh,1995-05-17,30,Pune,8322453657,arjun.singh.0121@example.in,443100.0,4.0,2021-08-26
C000122,Saanvi Gupta,1952-04-14,73,Ahmedabad,7007429548,saanvi.gupta.0122@example.in,634300.0,5.0,2023-03-13
C000123,Rhea Rao,1964-09-06,61,Pune,9259243319,rhea.rao.0123@example.in,917000.0,5.0,2024-12-20
C000124,Anika Verma,1970-03-15,55,Mumbai,7725002926,anika.verma.0124@example.in,838300.0,6.0,2025-11-13
C000125,Nikhil Sen,1980-09-25,45,Chennai,6795505185,nikhil.sen.0125@example.in,478700.0,4.0,2018-09-20
C000126,Saanvi Agarwal,1976-12-07,49,Pune,8086100792,saanvi.agarwal.0126@example.in,,6.0,2017-07-07
C000127,Aditi Nair,1961-06-20,64,Jaipur,6002394190,aditi.nair.0127@example.in,,7.0,2017-08-05
C000128,Vikram Agarwal,1973-03-02,52,Kochi,9995648486,vikram.agarwal.0128@example.in,359800.0,6.0,2025-01-04
C000129,Pranav Reddy,1995-03-09,30,Hyderabad,6714253385,pranav.reddy.0129@example.in,1224900.0,4.0,2016-03-19
C000130,Rohan Bose,1998-04-01,27,Pune,91-618-399-1439,rohan.bose.0130@example.in,233700.0,6.0,2015-09-05
C000131,Ishita Sinha,1973-09-28,52,Hyderabad, 66139-96311 ,ishita.sinha.0131@example.in,1233800.0,2.0,2017-11-12
C000132,Sanjay Tiwari,2005-12-02,20,Poona,9133994291,sanjay.tiwari.0132@example.in,,2.0,2019-08-28
C000133,Pranav Shah,1985-09-23,40,Pune,6487559879,pranav.shah.0133@example.in,608900.0,,2025-12-31
C000134,Rahul Mishra,1968-05-28,57,Hyd,91-754-435-4579,rahul.mishra.0134@example.in,,5.0,2024-04-30
C000135,Saanvi Rao,1998-03-30,27,Delhi,6658038776,saanvi.rao.0135@example.in,763100.0,7.0,2019-01-21
C000136,Ishaan Menon,1975-03-12,50, Delhi ,9772231680,ishaan.menon.0136@example.in,1199000.0,5.0,2021-11-25
C000137,Shreya Tiwari,1959-01-10,66,Lucknow,7337816108,shreya.tiwari.0137@example.in,301500.0,4.0,2023-07-15
C000138,Saanvi Desai,1953-04-02,72,PUNE,9400315957,saanvi.desai.0138@example.in,436800.0,1.0,2021-10-12
C000139,Varun Sen,1985-06-15,40,Kochi,8620791706,varun.sen.0139@example.in,310000.0,4.0,2023-05-29
C000140,Arjun Desai,1954-04-09,71,Hyderbad,6436396443,arjun.desai.0140@example.in,466300.0,7.0,2018-09-02
C000141,Varun Bose,1992-09-09,33,Mumbai,9769378217,vaun.bose.0141@example.in,748700.0,4.0,2023-02-26
C000142,Pooja Sinha,1955-03-07,70,Kochi,6426090136,pooja.sinha.0142@example.in,2239100.0,4.0,2015-09-11
C000143,Pranav Iyer,1991-05-25,34,PUNE,,pranav.iyer.0143@example.in,485000.0,3.0,2018-10-15
C000144,Rhea Reddy,1975-08-01,50,Pune,8803176343,rhea.reddy.0144@example.in,1189800.0,3.0,2023-02-10
C000145,Zoya Bose,1973-02-24,52,Hyd,9213268822,zoya.bose.0145@example.in,1595700.0,5.0,2018-03-22
C000146,Sahil Nair,2005-03-04,20,Hyderabad,7610966578,SAHIL.NAIR.0146@EXAMPLE.IN,1239600.0,4.0,2022-09-24
C000147,Rhea Patel,1970-08-04,55,Hyderabad,(620) 544-9847,rhea.patel.0147@example.in,,5.0,2021-05-15
C000148,Pranav Menon,1972-11-04,53,Kochi,8004471852,pranav.menon.0148@example.in,886000.0,4.0,2016-04-29
C000149,Sneha Agarwal,1995-02-17,30,Hyderabad,9780737964,sneha.agarwal.0149@example.in,469800.0,5.0,2017-01-27
C000150,Varun Shah,1996-08-18,29,Bengaluru,,varun.shah.0150@example.in,1061400.0,3.0,2025-12-30
C000151,Ananya Agarwal,2001-06-05,24,Bengluru,6575854325,ananya.agarwal.0151@example.in,913400.0,6.0,2018-06-27
C000152,Aditi Menon,1971-04-01,54,Bhopal,6739012153,aditi.menon.0152@example.in,687400.0,7.0,2019-03-20
C000153,Ananya Rao,1988-04-12,37,Kochi,8348131804,ananya.rao.0153@example.in,920100.0,3.0,2016-09-05
C000154,Ishaan Kulkarni,1968-05-12,57,Kolkata,9968952633,ishaan.kulkarni.0154@example.in,529900.0,,2022-05-23
C000155,Priya Subramanian,1993-10-11,32, Kochi ,9180190797,priya.subramanian.0155@example.in,2208100.0,3.0,2025-02-24
C000156,Aditya Kulkarni,1958-06-12,67,Chennai,(719) 144-5712,aditya.kulkarni.0156@example.in,3964600.0,5.0,2015-02-15
C000157,Nikhil Mishra,1951-12-25,74,Bhopal,8746795880,nikhil.mishra.0157@example.in,607100.0,1.0,2016-07-30
C000158,Diya Sen,1988-11-29,37,Lucknow,7742907593,diya.sen.0158@example.in,2679100.0,1.0,2015-04-06
C000159,Ishita Khan,1961-03-23,64,Kolkata,+91 90054 39468,ishita.khan.0159@example.in,930300.0,7.0,2022-11-15
C000160,Ishaan Singh,1993-11-19,32,Ahmedabad,8951146186,ishaan.singh.0160@example.in,,1.0,2023-06-04
C000161,Aditi Nair,1994-12-09,31,Hyderabad,9941540222,aditi.nair.0161@example.in,1309600.0,1.0,2024-01-02
C000162,Sanjay Mehta,2001-09-07,24,Lucknow,,sanjay.mehta.0162@example.in,577800.0,7.0,2022-05-06
C000163,Sahil Joshi,1972-05-18,53,Bhopal,+91 83219 15133,sahil.joshi.0163@example.in,1153400.0,6.0,2019-03-29
C000164,Akshay Sharma,1953-12-30,72,Lucknow,7003226918,akshay.sharma.0164@example.in,718000.0,7.0,2018-10-15
C000165,Zoya Subramanian,1994-05-28,31, Jaipur ,(799) 774-9784,zoya.subramanian.0165@example.in,1286900.0,6.0,2020-08-17
C000166,Rahul Mishra,1979-05-22,46,Pune,9134731249,rahul.mishra.0166@example.in,970600.0,4.0,2015-06-07
C000167,Rohan Agarwal,2004-11-11,21,Jaipur,6144391997,rohan.agarwal.0167@example.in,266500.0,1.0,2021-08-01
C000168,Vrun Iyer,1959-04-25,66,Bengaluru, 69349-35465 ,varun.iyer.0168@example.in,1884900.0,,2019-07-25
C000169,Ananya Mukherjee,2003-09-26,22,Bengaluru,6944780860,ananya.mukherjee.0169@example.in,450700.0,5.0,2024-06-10
C000170,Rhea Singh,1987-01-29,38,Bhopal,9738280306,rhea.singh.0170@example.in,594100.0,7.0,2021-12-24
C000171,Saanvi Singh,1997-08-19,28,Lucknow,6679929198,saanvi.singh.0171@example.in,952800.0,3.0,2022-02-21
C000172,Ishaan Sinha,1988-09-18,37,Kochi,8108459686,ishaan.sinha.0172@example.in,722600.0,2.0,2025-02-12
C000173,Akshay Kapoor,1993-08-18,32,Chennai,6429012073,akshay.kapoor.0173@example.in,219600.0,1.0,2019-04-15
C000174,Sanjay Menon,1952-12-08,73,Chennai ,8220552208,sanjay.menon.0174@example.in,274400.0,6.0,2020-10-07
C000175,Ishita Chandra,1959-04-29,66,Delhi,9036999861,ishita.chandra.0175@example.in,444900.0,7.0,2021-06-17
C000176,Sahil Reddy,1968-05-03,57,Mumbai,6553927676,sahil.reddy.0176@example.in,1206800.0,4.0,2023-05-31
C000177,Krishna Iyer,2005-09-17,20,LUCKNOW,7130821555,krishna.iyer.0177@example.in,2531600.0,1.0,2020-10-05
C000178,Pooja Kulkarni,1957-02-28,68,PUNE,6579343626,pooja.kulkarni.0178@example.in,1022700.0,,2024-02-04
C000179,Diya Singh,1972-06-13,53,Lucknow,7406215345,diya.singh.0179@example.in,413400.0,4.0,2017-12-02
C000180,Saanvi Joshi,1990-09-02,35,KOLKATA,9354296247,saanvi.joshi.0180@example.in,582100.0,,2024-03-07
C000181,Ananya Jain,1993-02-06,32,Ahmedabad,9705571395,ananya.jain.0181@example.in,457700.0,2.0,2016-09-26
C000182,Sahil Khan,1968-01-24,57,Chenai, 91177-47350 ,sahil.khan.0182@example.in,732500.0,6.0,2015-02-27
C000183,Kabir Nair,1957-06-22,68,Bengaluru,(666) 712-0036,kabir.nair.0183@example.in,959400.0,6.0,31-31-2024
C000184,Ananya Agarwal,2005-09-18,20,Kolkata, 76029-81939 ,ananya.agarwal.0184@example.in,571300.0,,2016-01-14
C000185,Kavya Mishra,1989-06-28,36,Hyderabad,91-624-799-8405,kavya.mishra.0185@example.in,860100.0,4.0,2021-06-12
C000186,R. Kulkarni,1954-08-09,71,Kolkata,(903) 382-6969,rohan.kulkarni.0186@example.in,1478300.0,7.0,2016-08-20
C000187,Kavya Shah,1974-05-10,51,Bhopal,9459873631,kavya.shah.0187example.in,1338400.0,7.0,2017-02-10
C000188,Tanvi Reddy,1990-07-04,35,Pune,8184975432,tanvi.reddy.0188@example.in,387500.0,7.0,2024-07-04
C000189,Priya Das,1994-07-20,31,Pune,8395190171,priya.das.0189@example.in,918100.0,5.0,2015-11-14
C000190,Saanvi Banerjee,1975-08-04,50,Chennai,9791710506,saanvi.banerjee.0190@example.in,328300.0,2.0,2019-01-07
C000191,Akshay Khan,1950-07-28,75,Hyderabad,,akshay.khan.0191@example.in,1649100.0,4.0,2017-05-18
C000192,Aditya Kulkarni,1984-02-06,41,Ahmedabad,+91 64919 11765,aditya.kulkarni.0192@example.in,1103100.0,5.0,2024-10-23
C000193,Akshay Banerjee,1968-06-18,57,Hyd,,akshay.banerjee.0193@example.in,1217400.0,5.0,2024-11-07
C000194,Meera Das,1998-04-06,27,Chennai,8222862638,meera.das.0194@example.in,641800.0,4.0,2015-05-03
C000195,Anika Khan,1992-10-31,33,Bengaluru,+91 65644 55367,anika.khan.0195@example.in,643600.0,6.0,2015-01-09
C000196,Sneha Shah,1954-04-12,71,Mumbai,7808201410,sneha.shah.0196@example.in,1559500.0,5.0,2025-01-07
C000197,Aditi Shah,1976-05-25,49,Chennai,8500683507,aditi.shah.0197@example.in,2211600.0,7.0,2022-10-14
C000198,Rahul Roy,1979-06-01,46,Bengaluru,9698070773,rahul.roy.0198@example.in,790600.0,3.0,2021-01-05
C000199,Ishita Nair,1950-10-23,75,Mumbai,7350358209,,340900.0,4.0,2019-03-26
C000200,Arjun Patel,1972-06-02,53,Kolkata,8388161677,arjun.patel.0200@example.in,126100.0,5.0,2025-09-06
C000201,Kavya Shah,1987-03-29,38,Bengaluru,7568028424,kavya.shah.0201@example.in,216100.0,1.0,2019-11-26
C000202,Ananya Reddy,1989-09-16,36,Bengaluru,91-875-953-3808,ananya.reddy.0202@example.in,353500.0,7.0,2022-01-24
C000203,Aditya Mishra,1962-06-18,63,Kolkata ,+91 68403 86160,aditya.mishra.0203@example.in,2211200.0,5.0,2024-12-15
C000204,Ananya Das,1994-08-21,31,Bengaluru,9483872109,ananya.das.0204@example.in,1290500.0,5.0,2025-08-21
C000205,Rahul Chandra,1959-05-10,66,Bhopal,9375681413,rahul.chandra.0205@example.in,380800.0,6.0,2020-02-01
C000206,Zoya Sen,1981-11-06,44,Kolkata ,9473810664,zoya.sen.0206@example.in,975500.0,6.0,2016-11-17
C000207,Tanvi Agarwal,1983-03-27,42,Pune,,tanv.agarwal.0207@example.in,,7.0,2020-08-04
C000208,Akshay Kapoor,1986-03-25,39,Jaipur,,akshay.kapoor.0208@example.in,544800.0,3.0,2021-12-23
C000209,Diya Mishra,1996-08-31,29,Kolkata,8496636686,diya.mishra.0209@example.in,1487900.0,7.0,2022-02-18
C000210,Anika Menon,1980-11-04,45,Mumbai,8666413461,anika.menon.0210@example.in,330000.0,,2018-05-29
C000211,Aditya Joshi,1978-12-25,47,Chennai,8339376758,aditya.joshi.0211@example.in,1637500.0,6.0,2016-10-11
C000212,Ananya Mishra,1994-12-29,31,Hyderabad,6085712178,ananya.mishra.0212@example.in,1203500.0,3.0,2015-02-15
C000213,Kavya Gupta,1961-03-10,64,Kochi,+91 72461 06380,kavya.gupta.0213@example.in,500700.0,6.0,2021-03-21
C000214,Saanvi Mishra,1958-11-09,67,Ahmedabad,9433524824,saanvi.mishra.0214@example.in,597400.0,2.0,2020-06-22
C000215,Mira Chandra,1994-12-18,31,Bhopal,8249005389,mira.chandra.0215@example.in,552600.0,4.0,2015-01-26
C000216,Anika Iyer,1989-02-03,36,Mumbai,6955108180,anika.iyer.0216@example.in,,6.0,2019-01-15
C000217,Akshay Kapoor,1983-07-04,42,Lucknow,8204786743,akshay.kapoor.0217@example.in,254600.0,5.0,2025-05-02
C000218,Zoya Gupta,1970-02-20,55,Pune,9456035435,zoya.gupta.0218@example.in,948900.0,2.0,2024-10-22
C000219,Pranav Kapoor,1981-12-20,44,Delhi,9877888832,pranav.kapoor.0219@example.in,586400.0,,2015-03-01
